zcta5,year,amenity_source_rows,amenity_type_count,amenity_est_total,amenity_employee_bucket_total,amenity_est_bucket_gap,amenities_observed,amenity_est_coffee_shops,amenity_est_fitness,amenity_est_parks,amenity_est_restaurants,amenity_emp_1000_plus,amenity_emp_100_249,amenity_emp_10_19,amenity_emp_1_4,amenity_emp_20_49,amenity_emp_250_499,amenity_emp_500_999,amenity_emp_50_99,amenity_emp_5_9,amenities_population_for_rate,amenity_per_10k_total,amenity_per_10k_bucket_gap,amenity_per_10k_coffee_shops,amenity_per_10k_fitness,amenity_per_10k_parks,amenity_per_10k_restaurants
90011,2014,2,2,18,18,0,True,12,0,0,6,0,0,1,15,0,0,0,0,2,102926.0,1.748829255970309,0.0,1.1658861706468724,0.0,0.0,0.5829430853234362
90011,2015,2,2,18,18,0,True,12,0,0,6,0,0,4,13,0,0,0,0,1,104058.0,1.729804532087874,0.0,1.153203021391916,0.0,0.0,0.576601510695958
90011,2016,2,2,16,16,0,True,11,0,0,5,0,0,4,10,0,0,0,0,2,104762.0,1.5272713388442374,0.0,1.0499990454554131,0.0,0.0,0.47727229338882415
90011,2017,2,2,18,16,2,True,12,0,0,6,0,0,4,12,0,0,0,0,0,108051.0,1.6658800011105865,0.1850977779011763,1.110586667407058,0.0,0.0,0.555293333703529
90011,2018,2,2,20,19,1,True,14,0,0,6,0,0,4,15,0,0,0,0,0,109414.0,1.8279196446524213,0.09139598223262106,1.279543751256695,0.0,0.0,0.5483758933957263
90011,2019,2,2,22,18,4,True,16,0,0,6,0,0,3,15,0,0,0,0,0,111165.0,1.979040165519723,0.3598254846399496,1.4393019385597985,0.0,0.0,0.5397382269599245
90011,2020,2,2,20,16,4,True,14,0,0,6,0,0,3,13,0,0,0,0,0,110750.0,1.8058690744920993,0.3611738148984199,1.2641083521444696,0.0,0.0,0.5417607223476298
90011,2021,2,2,22,15,7,True,14,0,0,8,0,0,4,11,0,0,0,0,0,109511.0,2.00893060971044,0.6392051939987764,1.2784103879975528,0.0,0.0,0.7305202217128873
90011,2022,2,2,20,14,6,True,13,0,0,7,0,0,3,11,0,0,0,0,0,106042.0,1.886045151920937,0.565813545576281,1.2259293487486091,0.0,0.0,0.660115803172328
90011,2023,2,2,21,15,6,True,13,0,0,8,0,0,0,12,0,0,0,0,3,102784.0,2.0431195516811957,0.5837484433374844,1.264788293897883,0.0,0.0,0.7783312577833126
90012,2012,3,3,131,131,0,True,24,2,0,105,0,1,32,37,28,0,0,5,28,29164.0,44.9183925387464,0.0,8.22932382389247,0.6857769853243725,0.0,36.00329172952956
90012,2013,3,3,134,134,0,True,28,3,0,103,0,0,31,38,28,0,0,5,32,29528.0,45.380655648875646,0.0,9.482525060959091,1.0159848279599024,0.0,34.88214575995665
90012,2014,3,3,141,141,0,True,27,4,0,110,0,0,34,45,26,0,0,5,31,30029.0,46.954610543141634,0.0,8.991308401878184,1.3320456891671384,0.0,36.63125645209631
90012,2015,3,3,150,150,0,True,27,4,0,119,0,0,38,52,27,0,0,7,26,30860.0,48.606610499027866,0.0,8.749189889825017,1.2961762799740766,0.0,38.56124432922878
90012,2016,3,3,145,145,0,True,26,4,0,115,0,2,34,44,30,0,0,8,27,32543.0,44.55643302707187,0.0,7.989429370371509,1.2291429800571552,0.0,35.33786067664321
90012,2017,3,3,154,150,4,True,32,6,0,116,0,0,37,52,30,0,0,6,25,33783.0,45.5850575733357,1.184027469437291,9.472219755498328,1.7760412041559364,0.0,34.336796613681436
90012,2018,3,3,158,154,4,True,37,6,0,115,0,0,31,43,44,0,0,4,32,35913.0,43.99521064795478,1.113802801214045,10.302675911229917,1.6707042018210676,0.0,32.0218305349038
90012,2019,3,3,160,152,8,True,39,6,0,115,0,0,37,41,40,0,0,4,30,36552.0,43.77325454147516,2.188662727073758,10.66973079448457,1.6414970453053184,0.0,31.462026701685268
90012,2020,3,3,148,144,4,True,36,6,0,106,0,0,38,32,41,0,0,3,30,37268.0,39.71235376194054,1.0733068584308254,9.659761725877429,1.609960287646238,0.0,28.442631748416872
90012,2021,3,3,152,147,5,True,39,7,0,106,0,0,31,67,20,0,0,0,29,39709.0,38.278475912261705,1.259160391850714,9.821451056435569,1.7628245485909995,0.0,26.694200307235135
90012,2022,3,3,153,145,8,True,37,8,0,108,0,0,34,43,38,0,0,0,30,38430.0,39.81264637002342,2.0817069997397866,9.627894873796514,2.0817069997397866,0.0,28.10304449648712
90012,2023,3,3,147,140,7,True,40,6,0,101,0,0,44,35,36,0,0,3,22,37463.0,39.23871553265889,1.8685102634599473,10.677201505485412,1.6015802258228118,0.0,26.959933801350665
