model,transformed_feature,coefficient,abs_coefficient,feature,source_group
ols_linear_regression,"categorical__parent_metro_region_Ukiah, CA",0.14200318777473717,0.14200318777473717,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Vallejo, CA",-0.14085550448541562,0.14085550448541562,parent_metro_region,listings
ols_linear_regression,numeric__log_median_household_income,0.11666904367294728,0.11666904367294728,log_median_household_income,demographics
ols_linear_regression,boolean__median_household_income_missing_True,-0.10220790901523577,0.10220790901523577,median_household_income_missing,demographics
ols_linear_regression,numeric__annual_median_ppsf,0.09869962156108505,0.09869962156108505,annual_median_ppsf,listings
ols_linear_regression,"categorical__parent_metro_region_Yuba City, CA",-0.09656220823626445,0.09656220823626445,parent_metro_region,listings
ols_linear_regression,numeric__born_other_state_25plus_bachelors_or_higher_share,0.08393693500660668,0.08393693500660668,born_other_state_25plus_bachelors_or_higher_share,demographics
ols_linear_regression,numeric__education_bachelors_or_higher_share,0.07383743912136517,0.07383743912136517,education_bachelors_or_higher_share,demographics
ols_linear_regression,boolean__foreign_born_noncitizen_derived_True,-0.06559859575565664,0.06559859575565664,foreign_born_noncitizen_derived,demographics
ols_linear_regression,numeric__age_0_17_share,-0.06427931464524755,0.06427931464524755,age_0_17_share,demographics
ols_linear_regression,"categorical__parent_metro_region_Santa Cruz, CA",0.0592940049419173,0.0592940049419173,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_San Luis Obispo, CA",0.0592146389712344,0.0592146389712344,parent_metro_region,listings
ols_linear_regression,numeric__annual_off_market_in_two_weeks,0.058937990387784286,0.058937990387784286,annual_off_market_in_two_weeks,listings
ols_linear_regression,"categorical__parent_metro_region_Crescent City, CA",-0.05815996435903487,0.05815996435903487,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Santa Maria, CA",0.056994406101387354,0.056994406101387354,parent_metro_region,listings
ols_linear_regression,numeric__foreign_born_total_share,0.05589264868785204,0.05589264868785204,foreign_born_total_share,demographics
ols_linear_regression,"categorical__parent_metro_region_San Rafael, CA",0.052225448011448,0.052225448011448,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Truckee, CA",-0.050282643650522735,0.050282643650522735,parent_metro_region,listings
ols_linear_regression,numeric__native_born_other_state_us_share,-0.04675901645542482,0.04675901645542482,native_born_other_state_us_share,demographics
ols_linear_regression,numeric__crime_property_est_per_1k,-0.04481319193253054,0.04481319193253054,crime_property_est_per_1k,crime
ols_linear_regression,numeric__race_asian_alone_share,-0.04344837129929062,0.04344837129929062,race_asian_alone_share,demographics
ols_linear_regression,categorical__assessment_type_INTERPOLATED,0.04164683647257604,0.04164683647257604,assessment_type,school_quality
ols_linear_regression,boolean__school_year_complete_True,-0.04164683647256164,0.04164683647256164,school_year_complete,school_quality
ols_linear_regression,categorical__assessment_type_CST,0.04115683286666279,0.04115683286666279,assessment_type,school_quality
ols_linear_regression,boolean__total_students_tested_unreliable_True,0.03830162544340105,0.03830162544340105,total_students_tested_unreliable,school_quality
ols_linear_regression,numeric__annual_sold_above_list,-0.03249202533054546,0.03249202533054546,annual_sold_above_list,listings
ols_linear_regression,numeric__foreign_born_25plus_bachelors_or_higher_share,-0.031054936468402253,0.031054936468402253,foreign_born_25plus_bachelors_or_higher_share,demographics
ols_linear_regression,boolean__minimum_wage_imputed_True,-0.03078860042379554,0.03078860042379554,minimum_wage_imputed,minimum_wage
ols_linear_regression,"categorical__parent_metro_region_Napa, CA",0.029923700976444867,0.029923700976444867,parent_metro_region,listings
ols_linear_regression,numeric__crime_violent_est_per_1k,0.029698299064653252,0.029698299064653252,crime_violent_est_per_1k,crime
